tanggal;pm10;pm25;co;so2;o3;no2;label
01/01/2021;24;17.81;2588.29;48.02;36.54;28.69;sedang
02/01/2021;19.5;11.94;2738.63;51.85;34.79;28.58;sedang
03/01/2021;25.77;21.52;2499.17;47.58;35.88;28.38;sedang
04/01/2021;22.08;19.58;2420.13;45.69;35.92;28.1;sedang
05/01/2021;22;8.54;2601.81;83.27;29.25;3.98;sedang
06/01/2021;17.67;10.35;2852.67;73.9;32.79;3.63;sedang
07/01/2021;14.92;8.08;2898.23;58.96;31.38;2.98;sedang
08/01/2021;18.73;12.02;2868.71;53.81;32.23;2.69;sedang
09/01/2021;24.21;13.71;2893.56;52.77;31.77;2;sedang
10/01/2021;27.65;15.75;3288.08;52.1;20.23;2;sedang
11/01/2021;29.77;13.48;3289;52;20;0;sedang
12/01/2021;44.42;18.58;3289;52;20;0;sedang
13/01/2021;37.44;16.96;3203.1;53.13;25.08;1.82;sedang
14/01/2021;33.46;17.75;2865.21;53;34.44;1.67;sedang
15/01/2021;30.02;14.6;2866.71;53.17;34.71;1.77;sedang
16/01/2021;39.19;22.15;3023.46;56.42;35;1.94;sedang
17/01/2021;34.02;18.23;2940.88;55;34.77;1.98;sedang
18/01/2021;28.08;16.35;3027.23;60.35;34.94;2.02;sedang
19/01/2021;28.15;13.31;2882.29;55.81;35.08;2.29;sedang
20/01/2021;29.5;15.98;2895.35;56.92;35.08;2.06;sedang
21/01/2021;12.43;0;1587.24;17.43;45.1;14.62;baik
22/01/2021;19.92;0;1539.96;15.29;40.88;13.98;baik
23/01/2021;31.58;0;1583.02;14.88;42.33;13.94;baik
24/01/2021;14.74;0;1568.19;13.1;43.5;13.23;baik
25/01/2021;0;0;1585.52;4.36;45.58;13.29;baik
26/01/2021;0;0;1618.17;11.35;50.35;13.58;baik
27/01/2021;17.56;15.88;1613.96;17.3;52.69;13.67;baik
28/01/2021;10.83;9.51;1602.96;21.95;50.06;13.91;baik
29/01/2021;10.27;7.13;1541.88;22.82;52.48;14.15;baik
30/01/2021;15.27;0;1521.08;20.21;47.75;14.02;baik
31/01/2021;16.81;0;1503.88;22.24;46.04;14.1;baik
01/02/2021;17.15;0;1563.98;35.87;50.63;14.15;baik
02/02/2021;9.35;0;1527.27;24.91;47.08;14.13;baik
03/02/2021;7.19;0;1489.65;26.89;44.77;14.04;baik
04/02/2021;9.79;0;1496.81;22.84;43.64;14.02;baik
05/02/2021;10.94;0;1543.56;24.02;41.96;14;baik
06/02/2021;14.38;0;1555.19;24.65;44.83;14.02;baik
07/02/2021;0;0;1535.94;31.27;40.17;14;baik
08/02/2021;0;0;1496.02;25.06;39.4;14;baik
09/02/2021;10;19.56;1568.96;39.61;46.13;14.19;baik
10/02/2021;15;15.52;1532.69;34.33;48.64;14.02;sedang
11/02/2021;16.15;14.75;1518.65;23.52;50.1;14.06;baik
12/02/2021;10.07;13.57;1520.5;21.65;49.52;14.08;baik
13/02/2021;0;0;1574.77;17.76;52.77;14.21;baik
14/02/2021;0;0;1528.85;27.88;53.96;14.27;baik
15/02/2021;15.47;14.4;1529.94;27.44;55.23;14.13;baik
16/02/2021;13.1;15.42;1495.96;31.63;57.85;14.21;baik
17/02/2021;16.04;21;1516.29;33.32;53.58;14.31;sedang
18/02/2021;16.25;21;1532.5;29.07;50.54;14.35;sedang
19/02/2021;15.15;23.96;1379.41;24.64;89.52;13.2;sedang
20/02/2021;17;39.06;1324.73;26.64;102.33;12.33;sedang
21/02/2021;17;19.85;1308.77;24.1;95.88;12.38;sedang
22/02/2021;17;26.75;1334.81;41.08;95.9;12.23;sedang
23/02/2021;17;23.58;1351.69;41.5;84.56;11.92;sedang
24/02/2021;17;20.29;1402.9;40.04;73.02;11.94;sedang
25/02/2021;14.56;17.21;1472.85;28.3;73.38;12.97;sedang
26/02/2021;0;0;4504.09;52.5;37.43;139;baik
27/02/2021;0;0;2353.74;68.78;113;139;baik
28/02/2021;0;0;2447.94;62.1;96;100;baik
01/03/2021;18.17;20.15;4931.33;42.2;61.5;56.5;baik
02/03/2021;40.2;0;1597;0;0;0;baik
03/03/2021;0;0;5240.83;0;0;1;baik
04/03/2021;0;0;0;0;0;0;baik
05/03/2021;28.47;22.35;620.8;11.33;0;11;sedang
06/03/2021;40.92;29.48;425.31;0;0;13.4;sedang
07/03/2021;34.65;24.33;402.23;0;0;16.27;sedang
08/03/2021;14.56;14.48;601.35;0;81;18.44;sedang
09/03/2021;18.13;18.31;557.79;0;0;19.35;sedang
10/03/2021;15.77;16.69;502;0;0;19.56;sedang
11/03/2021;17.33;18.08;447.17;0;0;19.15;sedang
12/03/2021;15.77;16.04;1289.23;0;0;21.67;sedang
13/03/2021;19.25;19.48;1374.27;0;0;23.27;sedang
14/03/2021;22.6;22.29;704.48;0;0;20.94;sedang
15/03/2021;18.65;19.27;759.15;0;0;20.88;sedang
16/03/2021;14.23;14.65;481.77;0;0;22.56;sedang
17/03/2021;17.88;17.94;592.79;0;0;21.71;sedang
18/03/2021;20.33;15.52;404.23;0;0;21.96;sedang
19/03/2021;15.6;12.77;314.74;0;0;21.17;baik
20/03/2021;16.02;13.25;870.26;8;0;23.13;baik
21/03/2021;30.25;20.46;927.98;0;0;21.33;sedang
22/03/2021;22.79;16.02;657.92;0;0;22.75;sedang
23/03/2021;31.25;18.88;787.17;0;0;23.33;sedang
24/03/2021;18.6;12.63;977.85;0;0;23.35;sedang
25/03/2021;26.81;15.67;1120.15;0;0;24.6;baik
26/03/2021;23.96;15.33;704.38;0;0;23.83;sedang
27/03/2021;31.6;17.31;641.71;0;0;21.98;sedang
28/03/2021;12.77;8.48;431.45;0;0;21.21;sedang
29/03/2021;16.81;13.54;601.15;0;0;21.98;baik
30/03/2021;17.69;14.56;836.52;0;0;22.94;baik
31/03/2021;28.58;21.15;1015.9;0;0;25.15;sedang
01/04/2021;34.75;21.52;1101.73;2;0;24.31;sedang
02/04/2021;49.29;27.31;745.73;0;0;24.35;sedang
03/04/2021;17.42;11;953.52;0;0;24.63;sedang
04/04/2021;41.13;25.13;1232.33;0;0;25.46;sedang
05/04/2021;54.56;31.92;1240.92;0;0;27.4;sedang
06/04/2021;45.21;29.96;964.31;0;0;26.35;sedang
07/04/2021;23.13;18.21;612.4;0;0;26.81;sedang
08/04/2021;26.54;21.9;687.17;0;0;28.83;sedang
09/04/2021;29.1;20.1;736.6;0;0;30.44;sedang
10/04/2021;32.73;22.73;891.79;0;0;27.35;sedang
11/04/2021;36.9;27;891.77;0;0;28.19;sedang
12/04/2021;47;49.13;830.6;8;0;27.46;sedang
13/04/2021;17.02;26.77;365.28;0;0;24.31;tidak sehat
14/04/2021;14.35;18.96;775.51;34;0;25.77;sedang
15/04/2021;9.6;13.33;379.84;3;0;25.4;sedang
16/04/2021;10.54;15.4;852.93;0;0;25.44;sedang
17/04/2021;16.5;24.4;497.37;0;0;29.21;sedang
18/04/2021;12.96;19.54;246;0;0;27.79;sedang
19/04/2021;21.65;34.98;282.83;0;0;29.31;sedang
20/04/2021;42.17;57.43;1178.9;0;0;32.04;tidak sehat
21/04/2021;44.09;38.5;1453.46;0;0;32.69;tidak sehat
22/04/2021;39.38;55.61;740.9;0;0;39.42;sedang
23/04/2021;9.98;16.23;87.29;0;0;29.67;tidak sehat
24/04/2021;5.85;6.16;47.21;0;0;26.31;baik
25/04/2021;21.88;0;215.56;0;0;31.42;baik
26/04/2021;48.48;35.83;605.79;0;0;34.88;sedang
27/04/2021;53.54;35.29;799.5;0;0;32.73;sedang
28/04/2021;52.35;32.58;1687.35;0;0;34.25;sedang
29/04/2021;81.88;42.77;958.6;0;0;36.79;sedang
30/04/2021;40;20.08;191.71;0;0;33.17;sedang
01/05/2021;39.85;25.9;578.76;0;0;31.46;sedang
02/05/2021;29.56;19.38;986.71;0;0;29.58;sedang
03/05/2021;38.25;24.94;1617.71;0;0;28.38;sedang
04/05/2021;35.25;21.19;1802.27;20;0;30.63;sedang
05/05/2021;39.98;26;918.23;0;0;31.73;sedang
06/05/2021;82.9;44.08;1704.1;0;0;34.98;sedang
07/05/2021;100.13;46.77;2878.19;0;0;32.48;tidak sehat 
08/05/2021;70.44;35.13;2208.17;0;0;31.46;sedang
09/05/2021;102.75;32.23;2474.93;0;0;30.5;sedang
10/05/2021;29.87;40.4;840.58;0;0;32.44;sedang
11/05/2021;30.1;42.83;749.85;0;0;33.56;sedang
12/05/2021;37.42;53.9;950.13;0;0;36.77;sedang
13/05/2021;39.85;62.42;1151.13;0;0;32.77;tidak sehat
14/05/2021;23.5;24.42;872.31;0;0;30.17;tidak sehat
15/05/2021;22.35;1.84;1868.98;0;0;30.29;sedang
16/05/2021;20.21;1;2103.48;0;0;32.27;baik
17/05/2021;15;28.79;985.4;0;0;31.08;sedang
18/05/2021;0;14.92;310;0;0;28.85;sedang
19/05/2021;0;23.73;299.44;0;0;32.58;sedang
20/05/2021;0;33.35;882.48;0;0;31.92;sedang
21/05/2021;0;36.79;719.6;0;0;37.96;sedang
22/05/2021;0;56.92;1433.98;0;0;32.75;tidak sehat
23/05/2021;0;35.1;867.21;0;0;30.29;tidak sehat
24/05/2021;0;43.56;618.17;0;0;33.98;sedang
25/05/2021;0;30.29;486;0;0;32.6;sedang
26/05/2021;0;25.67;778.13;0;0;28.44;sedang
27/05/2021;0;18.02;714.19;0;0;28.88;sedang
28/05/2021;0;18.65;911.94;0;0;30;sedang
29/05/2021;0;20.4;761.88;0;0;30.15;sedang
30/05/2021;0;20.27;254.29;0;0;31.33;sedang
31/05/2021;0;19.56;369.38;0;0;28.31;sedang
01/06/2021;0;6.69;22.11;0;0;26.25;sedang
02/06/2021;0;7.33;236.58;0;0;26.67;baik 
03/06/2021;0;35.71;503.56;0;0;33.13;sedang
04/06/2021;0;27.23;583.9;0;0;33.71;sedang
05/06/2021;0;32.35;312.54;0;0;31.9;sedang
06/06/2021;0;10.71;108.36;0;0;26.79;sedang
07/06/2021;0;7.96;90.59;0;0;25.94;baik
08/06/2021;0;7.23;100.89;0;0;24.98;baik
09/06/2021;0;15.58;380;9.25;0;25.63;baik
10/06/2021;0;13.19;207.48;22;0;25.58;sedang
11/06/2021;0;34.75;990.79;0;0;27.73;sedang
12/06/2021;0;22.17;199.92;30.43;0;27.81;sedang
13/06/2021;0;34.79;1132.83;0;0;30.06;sedang
14/06/2021;0;32.79;765.31;0;0;27.15;sedang
15/06/2021;0;17.75;1428.08;0;0;28.21;sedang
16/06/2021;0;14.94;1159.85;0;0;27.88;sedang
17/06/2021;0;19.46;1051.91;0;0;29.4;sedang
18/06/2021;0;33.69;1232.77;0;0;30.58;sedang
19/06/2021;0;11.31;257.56;0;0;26.71;sedang
20/06/2021;0;30.08;455.71;0;0;26.23;sedang
21/06/2021;0;11.94;324.23;0;0;26.08;sedang
22/06/2021;0;15.79;428.35;0;0;29.48;baik
23/06/2021;0;23.13;612.04;0;0;29.81;sedang
24/06/2021;0;37.54;769.88;0;0;28.9;sedang
25/06/2021;0;42.13;2008.29;0;0;34.54;sedang
26/06/2021;0;45.6;1911.21;0;0;32.98;sedang
27/06/2021;0;44.77;1643.77;0;0;31.67;sedang
28/06/2021;0;33.69;758.63;0;0;31.65;sedang
29/06/2021;58.67;49.67;2327.32;0;0;27.23;sedang
30/06/2021;39.67;0;3742.43;26.63;0;16.42;sedang
01/07/2021;31.98;17.86;3027.17;21.11;29.59;9.58;baik
02/07/2021;24.06;14.54;1535.75;23.75;17.95;6.52;sedang
03/07/2021;76.63;48.63;2531.33;23.9;27.89;7.33;sedang
04/07/2021;72.7;45.55;2764.45;35.45;26.15;7.7;tidak sehat
05/07/2021;34.93;19.9;1352.47;7.8;9.15;6.97;sedang
06/07/2021;29.69;23.23;1291.1;2.88;29.17;7.63;sedang
07/07/2021;63.67;45.54;1979.02;15.03;45.17;10.56;sedang
08/07/2021;63.46;49.29;2153.71;9.24;40.89;9.15;tidak sehat
09/07/2021;62.52;45.27;1976.83;6.79;24.53;8.98;sedang
10/07/2021;44.23;26.77;2351.31;4.94;30.12;7.75;sedang
11/07/2021;23.75;13.96;2269.77;10.45;8.89;6.58;sedang
