tanggal;pm25;pm10;co;so2;o3;no2
01/01/2021 00:00;6;12;2720;52;34;3
01/01/2021 00:30;7;12;2688;52;34;3
01/01/2021 01:00;9;15;2678;52;34;3
01/01/2021 01:30;10;4;2669;52;33;3
01/01/2021 02:00;8;5;2655;52;33;3
01/01/2021 02:30;9;8;2639;52;33;3
01/01/2021 03:00;11;10;2632;52;33;3
01/01/2021 03:30;12;12;2621;52;33;3
01/01/2021 04:00;11;11;2585;51;31;2
01/01/2021 04:30;12;9;2569;51;31;2
01/01/2021 05:00;14;9;2591;52;32;2
01/01/2021 05:30;13;10;2582;52;32;3
01/01/2021 06:00;13;11;2603;52;32;2
01/01/2021 06:30;16;11;2611;52;33;3
01/01/2021 07:00;20;13;2647;52;33;3
01/01/2021 07:30;17;16;2713;52;33;3
01/01/2021 08:00;11;22;2800;53;33;3
01/01/2021 08:30;15;24;2935;54;33;3
01/01/2021 09:00;11;20;3054;55;34;3
01/01/2021 09:30;11;19;3043;55;33;3
01/01/2021 10:00;13;19;3105;56;34;4
01/01/2021 10:30;16;15;3045;55;35;3
01/01/2021 11:00;11;11;2961;55;34;3
01/01/2021 11:30;9;9;2891;54;34;3
01/01/2021 12:00;10;9;2857;54;34;3
01/01/2021 12:30;8;9;2892;54;34;3
01/01/2021 13:00;7;11;2893;54;35;3
01/01/2021 13:30;5;10;2884;54;35;3
01/01/2021 14:00;5;9;2860;53;35;3
01/01/2021 14:30;4;10;2834;53;35;3
01/01/2021 15:00;5;12;2823;53;35;3
01/01/2021 15:30;5;11;2823;53;36;3
01/01/2021 16:00;5;13;2822;53;34;3
01/01/2021 16:30;6;17;2811;53;34;3
01/01/2021 17:00;8;22;2839;53;34;3
01/01/2021 17:30;12;25;2882;53;34;3
01/01/2021 18:00;12;31;2928;54;35;3
01/01/2021 18:30;5;27;2974;54;35;3
01/01/2021 19:00;7;33;3002;54;34;3
01/01/2021 19:30;5;42;3029;55;35;4
01/01/2021 20:00;7;46;3052;55;35;3
01/01/2021 20:30;10;49;3108;55;35;3
01/01/2021 21:00;14;58;3187;56;34;4
01/01/2021 21:30;13;62;3296;57;35;4
01/01/2021 22:00;14;68;3378;58;35;4
01/01/2021 22:30;22;70;3417;59;36;4
01/01/2021 23:00;11;74;3578;60;35;4
01/01/2021 23:30;12;83;3662;61;35;4
02/01/2021 00:00;6;126;3925;63;33;3
02/01/2021 00:30;9;127;3908;63;33;3
02/01/2021 01:00;15;135;3837;62;33;3
02/01/2021 01:30;17;80;3773;62;33;3
02/01/2021 02:00;22;29;3478;60;33;3
02/01/2021 02:30;27;42;3253;58;33;3
02/01/2021 03:00;24;48;3087;57;33;3
02/01/2021 03:30;20;56;3005;56;33;3
02/01/2021 04:00;15;61;2912;55;32;3
02/01/2021 04:30;13;73;2881;55;31;2
02/01/2021 05:00;12;62;2873;55;32;2
02/01/2021 05:30;11;52;2853;55;32;2
02/01/2021 06:00;9;52;2850;54;32;2
02/01/2021 06:30;6;109;2851;54;32;3
02/01/2021 07:00;8;89;2865;54;33;3
02/01/2021 07:30;8;99;2874;54;32;3
02/01/2021 08:00;12;101;2912;54;33;3
02/01/2021 08:30;11;77;2944;55;33;3
02/01/2021 09:00;10;54;2975;55;32;3
02/01/2021 09:30;11;40;2988;55;32;3
02/01/2021 10:00;10;22;3002;55;34;3
02/01/2021 10:30;8;20;2949;54;34;3
02/01/2021 11:00;9;19;2892;53;34;3
02/01/2021 11:30;10;20;2863;53;35;3
02/01/2021 12:00;10;18;2841;53;35;3
02/01/2021 12:30;9;18;2823;53;35;3
02/01/2021 13:00;8;19;2814;52;35;3
02/01/2021 13:30;7;19;2812;52;35;3
02/01/2021 14:00;8;15;2810;52;36;3
02/01/2021 14:30;9;15;2809;51;37;3
02/01/2021 15:00;18;21;2807;51;37;3
02/01/2021 15:30;9;25;2832;51;37;3
02/01/2021 16:00;12;29;2786;51;35;3
02/01/2021 16:30;7;23;2764;51;33;3
02/01/2021 17:00;6;24;2776;51;34;3
02/01/2021 17:30;5;28;2780;51;34;3
02/01/2021 18:00;8;38;2786;52;34;3
02/01/2021 18:30;9;36;2790;52;34;3
02/01/2021 19:00;11;34;2823;52;35;3
02/01/2021 19:30;11;36;2852;53;34;3
02/01/2021 20:00;11;28;2876;53;35;3
02/01/2021 20:30;13;27;2854;53;34;3
02/01/2021 21:00;17;26;2838;53;35;3
02/01/2021 21:30;23;16;2825;53;34;3
02/01/2021 22:00;27;15;2833;53;36;4
02/01/2021 22:30;35;16;2794;52;36;4
02/01/2021 23:00;36;16;2756;52;35;4
02/01/2021 23:30;35;17;2745;52;35;4
03/01/2021 00:00;;48;2807;51;34;3
03/01/2021 00:30;;54;2826;51;34;3
03/01/2021 01:00;;75;2854;51;33;3
03/01/2021 01:30;;102;2891;52;33;3
03/01/2021 02:00;;105;2968;52;33;2
03/01/2021 02:30;;104;3039;54;33;2
03/01/2021 03:00;;97;3050;54;33;2
03/01/2021 03:30;;91;3045;53;33;3
03/01/2021 04:00;;90;2999;53;31;2
03/01/2021 04:30;;100;2980;53;31;2
03/01/2021 05:00;;108;3002;53;32;2
03/01/2021 05:30;;118;3003;53;31;2
03/01/2021 06:00;;126;3018;53;32;2
03/01/2021 06:30;;126;3043;53;32;3
03/01/2021 07:00;;132;3077;54;33;3
03/01/2021 07:30;;128;3138;54;33;3
03/01/2021 08:00;11;90;3184;54;33;3
03/01/2021 08:30;8;47;3169;54;33;3
03/01/2021 09:00;10;42;3143;54;33;3
03/01/2021 09:30;10;38;3118;53;34;3
03/01/2021 10:00;9;40;3079;53;35;3
03/01/2021 10:30;9;40;3045;53;35;3
03/01/2021 11:00;9;38;3006;52;35;3
03/01/2021 11:30;5;35;2941;52;35;3
03/01/2021 12:00;5;31;2892;51;34;3
03/01/2021 12:30;5;34;2850;51;34;3
03/01/2021 13:00;5;36;2848;51;34;3
03/01/2021 13:30;3;35;2868;51;35;3
03/01/2021 14:00;2;34;2880;51;35;3
03/01/2021 14:30;3;30;2879;51;35;3
03/01/2021 15:00;4;29;2878;51;35;3
03/01/2021 15:30;4;33;2906;51;35;3
03/01/2021 16:00;4;32;2857;51;34;3
03/01/2021 16:30;7;34;2868;51;32;3
03/01/2021 17:00;;36;2886;51;33;3
03/01/2021 17:30;;34;2903;51;34;3
03/01/2021 18:00;;46;2970;52;34;3
03/01/2021 18:30;;86;3059;53;34;3
03/01/2021 19:00;;121;3120;53;34;3
03/01/2021 19:30;;108;3206;54;34;3
03/01/2021 20:00;;93;3323;55;34;3
03/01/2021 20:30;;309;3341;56;34;3
03/01/2021 21:00;;222;3367;56;34;3
03/01/2021 21:30;;201;3389;57;34;3
03/01/2021 22:00;;191;3428;58;36;3
03/01/2021 22:30;;158;3542;58;36;4
03/01/2021 23:00;;142;3634;59;35;4
03/01/2021 23:30;;149;3759;61;34;3
04/01/2021 00:00;;;;;;
04/01/2021 00:30;;;;;;
04/01/2021 01:00;;;;;;
04/01/2021 01:30;;;;;;
04/01/2021 02:00;;;;;;
04/01/2021 02:30;;;;;;
04/01/2021 03:00;;;;;;
04/01/2021 03:30;;;;;;
04/01/2021 04:00;;;;;;
04/01/2021 04:30;;;;;;
04/01/2021 05:00;;;;;;
04/01/2021 05:30;;;;;;
04/01/2021 06:00;;;;;;
04/01/2021 06:30;;;;;;
04/01/2021 07:00;;;;;;
04/01/2021 07:30;;;;;;
04/01/2021 08:00;;15;;;;
04/01/2021 08:30;;11;;;;
04/01/2021 09:00;;11;;;;
04/01/2021 09:30;;12;;;;
04/01/2021 10:00;;10;;;;
04/01/2021 10:30;6;10;2150;2;38;15
04/01/2021 11:00;6;10;2100;1;33;17
04/01/2021 11:30;6;6;1985;2;24;14
04/01/2021 12:00;7;5;1905;3;18;13
04/01/2021 12:30;6;6;1869;7;15;11
04/01/2021 13:00;6;6;1863;12;14;10
04/01/2021 13:30;6;4;1868;18;13;9
04/01/2021 14:00;6;3;1892;23;13;8
04/01/2021 14:30;6;2;1914;29;13;7
04/01/2021 15:00;7;4;1925;33;13;7
04/01/2021 15:30;7;5;1955;38;14;7
04/01/2021 16:00;8;6;1976;42;15;6
04/01/2021 16:30;9;9;2018;46;16;6
04/01/2021 17:00;9;;2071;49;17;6
04/01/2021 17:30;;;;;;
04/01/2021 18:00;;;;;;
04/01/2021 18:30;;;;;;
04/01/2021 19:00;;;;;;
04/01/2021 19:30;;;2272;39;43;12
04/01/2021 20:00;;;2408;42;34;11
04/01/2021 20:30;;;2367;43;29;10
04/01/2021 21:00;;;2391;45;26;9
04/01/2021 21:30;;;2433;48;25;9
04/01/2021 22:00;;;2405;51;24;8
04/01/2021 22:30;;;2430;54;23;7
04/01/2021 23:00;;;2554;58;24;7
04/01/2021 23:30;;;2618;62;23;6
05/01/2021 00:00;;;2619;64;24;6
05/01/2021 00:30;;;2586;66;23;5
05/01/2021 01:00;;;2564;68;23;5
05/01/2021 01:30;;;2582;70;25;5
05/01/2021 02:00;;;2604;72;24;5
05/01/2021 02:30;;;2589;72;24;5
05/01/2021 03:00;;;2556;74;24;4
05/01/2021 03:30;;;2536;75;24;4
05/01/2021 04:00;;;2552;76;24;4
05/01/2021 04:30;;;2557;77;25;4
05/01/2021 05:00;;;2550;78;25;4
05/01/2021 05:30;;;2545;79;25;4
05/01/2021 06:00;;;2558;80;25;4
05/01/2021 06:30;;;2566;80;26;3
05/01/2021 07:00;;;2565;81;27;3
